#,State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy,Region,Increase_percent,Change in Population,Literacy_Percent,Literate Population,Total Regional Area,Number of Girls,Total Regional Girls_x,Regional Sex Ratio_x,Total Regional Girls_y,Total Regional Girls_x,Regional Sex Ratio_y,Total Regional Population_x,Total Regional Change in Population_x,Total Regional Literate Population_x,Regional Density,Regional PopGrowth Percent,Regional Literacy Level,Total Regional Girls_y,Total Regional Girls,Total Regional Population_y,Total Regional Change in Population_y,Total Regional Literate Population_y,Total Regional Population,Total Regional Change in Population,Total Regional Literate Population,Total Regional Men,Regional Sex Ratio
30,Chandigarh,1055450.0,17.19,114.0,9258.0,818.0,86.05,North,0.17190000000000003,181431.85500000004,0.8604999999999999,9082.14725,1413145.0,474894.4444444445,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
2,Maharashtra,112374333.0,15.99,307713.0,365.0,929.0,82.34,West,0.15990000000000001,17968655.8467,0.8234,925290.2579220001,507659.0,54119105.93934681,83782680.42241356,-3261.0639563364034,83782680.42241356,83782680.42241356,-3261.0639563364034,174272570.0,29741466.717800003,1409838.4687480002,343.28667471668973,17.06606307452745,0.808984723613131,83782680.42241356,83782680.42241356,174272570.0,29741466.717800003,1409838.4687480002,174272570.0,29741466.717800003,1409838.4687480002,90489889.57758644,925.8789110420773
10,Gujarat,60439692.0,19.28,196244.0,308.0,919.0,78.03,West,0.1928,11652772.6176,0.7803,471610.91667600005,507659.0,28944281.890568007,83782680.42241356,-3261.0639563364034,83782680.42241356,83782680.42241356,-3261.0639563364034,174272570.0,29741466.717800003,1409838.4687480002,343.28667471668973,17.06606307452745,0.808984723613131,83782680.42241356,83782680.42241356,174272570.0,29741466.717800003,1409838.4687480002,174272570.0,29741466.717800003,1409838.4687480002,90489889.57758644,925.8789110420773
26,Goa,1458545.0,8.23,3702.0,394.0,973.0,88.7,West,0.0823,120038.25349999999,0.887,12937.294150000002,507659.0,719292.5924987328,83782680.42241356,-3261.0639563364034,83782680.42241356,83782680.42241356,-3261.0639563364034,174272570.0,29741466.717800003,1409838.4687480002,343.28667471668973,17.06606307452745,0.808984723613131,83782680.42241356,83782680.42241356,174272570.0,29741466.717800003,1409838.4687480002,174272570.0,29741466.717800003,1409838.4687480002,90489889.57758644,925.8789110420773
4,West Bengal,91276115.0,13.84,88752.0,1028.0,950.0,76.26,East,0.1384,12632614.316,0.7626000000000001,696071.6529900001,430647.0,44467850.897435896,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
13,Jharkhand,32988134.0,22.42,79716.0,414.0,948.0,66.41,East,0.2242,7395939.6428000005,0.6640999999999999,219074.19789399998,430647.0,16053773.630390143,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
14,Assam,31205576.0,17.07,78438.0,398.0,958.0,72.19,East,0.1707,5326791.8231999995,0.7219,225273.053144,430647.0,15268101.025536261,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
22,Tripura,3673917.0,14.84,10486.0,350.0,960.0,87.22,East,0.1484,545209.2828,0.8722,32043.904074,430647.0,1799469.551020408,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
23,Meghalaya,2966889.0,27.95,22429.0,132.0,989.0,74.43,East,0.27949999999999997,829245.4755,0.7443000000000001,22082.554827,430647.0,1475240.4328808447,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
24,Manipur,2855794.0,24.5,22327.0,128.0,985.0,76.94,East,0.245,699669.53,0.7694,21972.479035999997,430647.0,1417106.846347607,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
25,Nagaland,1978502.0,-0.58,16579.0,119.0,931.0,79.55,East,-0.0058,-11475.311599999999,0.7955,15738.98341,430647.0,953902.3107198343,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
27,Arunachal Pradesh,1383727.0,26.03,83743.0,17.0,938.0,65.38,East,0.26030000000000003,360184.13810000004,0.6537999999999999,9046.807126,430647.0,669729.5799793602,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
29,Mizoram,1097206.0,23.48,21081.0,52.0,976.0,91.33,East,0.2348,257623.9688,0.9133,10020.782398,430647.0,541939.8056680162,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
31,Sikkim,610577.0,12.89,7096.0,86.0,890.0,81.42,East,0.12890000000000001,78703.37530000001,0.8142,4971.317934000001,430647.0,287520.38624338625,82934634.46622176,-1257.9006246135684,82934634.46622176,82934634.46622176,-1257.9006246135684,170036437.0,28114506.2409,1256295.7328330001,394.83947873780613,16.534400941899293,0.7388391305994021,82934634.46622176,82934634.46622176,170036437.0,28114506.2409,1256295.7328330001,170036437.0,28114506.2409,1256295.7328330001,87101802.53377824,952.1574990834382
5,Andhra Pradesh,84580777.0,10.98,275045.0,308.0,993.0,67.02,South,0.10980000000000001,9286969.3146,0.6701999999999999,566860.3674539999,506208.0,42141852.263421975,90314397.61234458,-1665.2270543113468,90314397.61234458,90314397.61234458,-1665.2270543113468,180394561.0,20812560.243100002,1352597.3600559998,356.36450036348697,11.537243765958111,0.7497994133293187,90314397.61234458,90314397.61234458,180394561.0,20812560.243100002,1352597.3600559998,180394561.0,20812560.243100002,1352597.3600559998,90080163.38765542,1002.6002864102403
9,Karnataka,61095297.0,15.6,191791.0,319.0,973.0,75.36,South,0.156,9530866.332,0.7536,460414.158192,506208.0,30129611.749113023,90314397.61234458,-1665.2270543113468,90314397.61234458,90314397.61234458,-1665.2270543113468,180394561.0,20812560.243100002,1352597.3600559998,356.36450036348697,11.537243765958111,0.7497994133293187,90314397.61234458,90314397.61234458,180394561.0,20812560.243100002,1352597.3600559998,180394561.0,20812560.243100002,1352597.3600559998,90080163.38765542,1002.6002864102403
12,Kerala,33406061.0,4.91,38852.0,860.0,1084.0,94.0,South,0.049100000000000005,1640237.5951000003,0.94,314016.97339999996,506208.0,17376281.249520153,90314397.61234458,-1665.2270543113468,90314397.61234458,90314397.61234458,-1665.2270543113468,180394561.0,20812560.243100002,1352597.3600559998,356.36450036348697,11.537243765958111,0.7497994133293187,90314397.61234458,90314397.61234458,180394561.0,20812560.243100002,1352597.3600559998,180394561.0,20812560.243100002,1352597.3600559998,90080163.38765542,1002.6002864102403
28,Puducherry,1247953.0,28.08,490.0,2547.0,1037.0,85.85,South,0.2808,350425.2024,0.8584999999999999,10713.676505,506208.0,635310.3883161512,90314397.61234458,-1665.2270543113468,90314397.61234458,90314397.61234458,-1665.2270543113468,180394561.0,20812560.243100002,1352597.3600559998,356.36450036348697,11.537243765958111,0.7497994133293187,90314397.61234458,90314397.61234458,180394561.0,20812560.243100002,1352597.3600559998,180394561.0,20812560.243100002,1352597.3600559998,90080163.38765542,1002.6002864102403
35,Lakshadweep,64473.0,6.3,30.0,2149.0,946.0,91.85,South,0.063,4061.799,0.9185,592.1845050000001,506208.0,31341.96197327852,90314397.61234458,-1665.2270543113468,90314397.61234458,90314397.61234458,-1665.2270543113468,180394561.0,20812560.243100002,1352597.3600559998,356.36450036348697,11.537243765958111,0.7497994133293187,90314397.61234458,90314397.61234458,180394561.0,20812560.243100002,1352597.3600559998,180394561.0,20812560.243100002,1352597.3600559998,90080163.38765542,1002.6002864102403
